City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,8.25,66,0,1.03,CL,1712849350
1,mugia,43.1041,-9.2179,23.84,73,87,1.42,ES,1712849350
2,adamstown,-25.066,-130.1015,21.44,70,93,10.76,PN,1712849350
3,buenaventura,3.8801,-77.0312,29.15,75,92,1.33,CO,1712849350
4,bossangoa,6.4926,17.4552,32.71,44,72,3.11,CF,1712849351
5,ilulissat,69.2167,-51.1,-5.99,68,100,2.06,GL,1712849351
6,port-aux-francais,-49.35,70.2167,6.1,97,97,8.0,TF,1712849351
7,vorgashor,67.5833,63.95,-12.33,82,100,11.07,RU,1712849351
8,coahuayana de hidalgo,18.7,-103.6583,27.68,40,0,1.25,MX,1712849351
9,sena madureira,-9.0656,-68.6569,32.04,54,100,1.74,BR,1712849067
10,alesund,62.4723,6.1549,9.51,93,75,12.86,NO,1712849352
11,sunnyside,46.3237,-120.0087,8.64,81,0,0.0,US,1712849352
12,bilibino,68.0546,166.4372,-23.48,100,92,0.87,RU,1712849352
13,tazovsky,67.4667,78.7,-25.98,99,6,3.1,RU,1712849352
14,shahr-e babak,30.1165,55.1186,19.58,20,0,10.34,IR,1712849352
15,iqaluit,63.7506,-68.5145,-2.15,63,100,0.0,CA,1712849352
16,fort mcmurray,56.7268,-111.381,3.77,80,40,3.6,CA,1712849352
17,edinburgh of the seven seas,-37.0676,-12.3116,17.26,87,100,3.84,SH,1712849353
18,utrik,11.2278,169.8474,26.5,75,96,9.58,MH,1712849353
19,olonkinbyen,70.9221,-8.7187,-8.46,68,100,3.93,SJ,1712849122
20,longyearbyen,78.2186,15.6401,-11.09,62,0,5.14,SJ,1712849353
21,bredasdorp,-34.5322,20.0403,17.24,55,0,7.14,ZA,1712849353
22,ust-nera,64.5667,143.2,-12.26,93,86,3.28,RU,1712849353
23,waitangi,-43.9535,-176.5597,16.01,95,15,4.47,NZ,1712849353
24,santo antonio,-6.3106,-35.4789,31.73,57,82,2.5,BR,1712849353
25,avarua,-21.2078,-159.775,28.03,83,75,5.66,CK,1712849354
26,albany,42.6001,-73.9662,11.82,83,100,2.24,US,1712849170
27,filiatra,37.15,21.5833,22.61,63,43,2.6,GR,1712849354
28,tanah rata,4.475,101.3704,18.78,87,100,1.56,MY,1712849354
29,oroville east,39.5113,-121.4752,16.63,70,0,1.54,US,1712849354
30,grytviken,-54.2811,-36.5092,1.96,78,67,5.71,GS,1712849354
31,keflavik,64.0049,-22.5624,6.95,87,100,6.69,IS,1712849355
32,hithadhoo,-0.6,73.0833,29.88,70,39,2.11,MV,1712849355
33,lihue,21.9789,-159.3672,22.58,89,20,2.06,US,1712849355
34,puerto ayora,-0.7393,-90.3518,28.98,90,37,1.34,EC,1712849348
35,sinabang,2.4803,96.3801,27.7,80,94,0.7,ID,1712849355
36,kudymkar,59.0173,54.656,8.51,86,100,7.89,RU,1712849355
37,wailua homesteads,22.0669,-159.378,22.24,91,20,2.06,US,1712849356
38,thompson,55.7435,-97.8558,1.09,75,75,5.66,CA,1712849102
39,tumaco,1.7986,-78.8156,28.39,72,44,1.15,CO,1712849356
40,new norfolk,-42.7826,147.0587,9.72,84,100,1.23,AU,1712849356
41,cadale,2.7603,46.3222,29.72,69,100,6.6,SO,1712849357
42,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,71,0,11.62,RU,1712849357
43,yazd,31.8972,54.3675,27.06,8,20,5.14,IR,1712849357
44,anadyr,64.75,177.4833,-13.72,84,81,11.0,RU,1712849357
45,garissa,-0.4536,39.6401,34.14,45,98,1.76,KE,1712849357
46,fort bragg,35.139,-79.006,21.22,89,100,7.72,US,1712849357
47,newman,37.3138,-121.0208,16.25,85,69,0.66,US,1712849358
48,fale old settlement,-9.3852,-171.2468,29.08,75,65,2.11,TK,1712849358
49,st. john's,47.5649,-52.7093,4.82,74,75,4.12,CA,1712849099
50,freetown,8.484,-13.2299,28.81,57,68,4.37,SL,1712849358
51,mount isa,-20.7333,139.5,11.87,62,0,2.57,AU,1712849358
52,west island,-12.1568,96.8225,26.99,78,40,4.63,CC,1712849359
53,udachny,66.4167,112.4,-28.08,100,89,2.13,RU,1712849359
54,blackmans bay,-43.0167,147.3167,9.07,85,100,0.45,AU,1712849359
55,sao mateus,-18.7161,-39.8589,32.27,52,42,1.13,BR,1712849320
56,ribeira grande,38.5167,-28.7,16.22,88,75,4.12,PT,1712849359
57,berezovyy,51.6667,135.7,1.99,66,0,2.18,RU,1712849359
58,yellowknife,62.456,-114.3525,-1.44,91,75,4.63,CA,1712849359
59,georgetown,5.4112,100.3354,28.97,75,20,2.06,MY,1712849282
60,nemuro,43.3236,145.575,4.17,95,100,7.22,JP,1712849360
61,port lincoln,-34.7333,135.8667,14.09,72,0,4.19,AU,1712849360
62,isafjordur,66.0755,-23.124,2.02,80,100,7.2,IS,1712849360
63,tuxpan,19.55,-103.4,23.64,43,0,1.49,MX,1712849094
64,nagqu,31.5,92.0,0.64,34,100,3.59,CN,1712849361
65,castillos,-34.1667,-53.8333,17.18,56,96,3.48,UY,1712849361
66,margaret river,-33.95,115.0667,15.43,61,1,6.17,AU,1712849361
67,sydney mines,46.2367,-60.2177,9.19,51,20,4.92,CA,1712849361
68,enewetak,11.3474,162.3373,26.96,79,70,10.19,MH,1712849361
69,queenstown,-31.8976,26.8753,13.06,43,0,5.42,ZA,1712849362
70,carnarvon,-24.8667,113.6333,22.2,63,100,12.17,AU,1712849362
71,badger,64.8,-147.5333,-1.04,78,75,3.09,US,1712849362
72,twin falls,42.3505,-114.6445,8.29,66,0,3.09,US,1712849362
73,el abadia,36.2695,1.6861,20.74,35,4,6.56,DZ,1712849362
74,iquique,-20.2208,-70.1431,23.02,71,68,3.56,CL,1712849208
75,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712849362
76,puerto lempira,15.2667,-83.7667,30.08,70,40,2.57,HN,1712849363
77,college,64.8569,-147.8028,-1.0,72,75,3.09,US,1712849363
78,lorengau,-2.0226,147.2712,27.1,84,100,1.78,PG,1712849363
79,wangqing,43.3218,129.7634,6.21,93,45,2.06,CN,1712849363
80,ilomantsi,62.6716,30.9328,9.27,72,18,6.33,FI,1712849363
81,chateauroux,46.8167,1.7,18.0,68,40,1.54,FR,1712849363
82,qaqortoq,60.7167,-46.0333,-3.23,78,96,1.42,GL,1712849364
83,dellys,36.9172,3.9131,13.7,73,88,9.67,DZ,1712849364
84,bac lieu,9.285,105.7244,28.6,75,13,7.35,VN,1712849364
85,mount gambier,-37.8333,140.7667,11.69,66,87,1.54,AU,1712849342
86,lebu,-37.6167,-73.65,15.11,47,0,1.65,CL,1712849106
87,arkhangel'sk,64.5401,40.5433,6.06,67,75,10.0,RU,1712849151
88,sianow,54.2265,16.2913,12.15,65,100,6.53,PL,1712849364
89,primero de mayo,-32.2552,-58.4228,19.75,59,1,7.01,AR,1712849365
90,perevoz,55.5961,44.5446,15.87,76,100,6.42,RU,1712849365
91,marsabit,2.3284,37.9899,25.11,57,26,4.88,KE,1712849365
92,tazacorte,28.629,-17.9293,23.54,64,0,7.2,ES,1712849365
93,lijiang,26.8688,100.2207,9.44,45,1,2.26,CN,1712849365
94,punta arenas,-53.15,-70.9167,9.06,57,20,15.43,CL,1712849365
95,dryden,49.7833,-92.7503,7.16,76,100,2.06,CA,1712849366
96,luderitz,-26.6481,15.1594,24.75,48,1,4.9,NA,1712849366
97,saint-philippe,-21.3585,55.7679,27.77,88,85,1.77,RE,1712849366
98,kapuskasing,49.4169,-82.4331,12.0,58,75,2.06,CA,1712849342
99,daira din panah,30.5702,70.9361,31.52,15,16,2.79,PK,1712849366
100,nuku'alofa,-21.1333,-175.2,23.19,100,40,2.06,TO,1712849366
101,papatowai,-46.5619,169.4708,7.52,92,100,3.96,NZ,1712849366
102,ushuaia,-54.8,-68.3,8.81,57,0,6.17,AR,1712849340
103,severo-yeniseyskiy,60.3725,93.0408,-17.84,98,98,0.95,RU,1712849367
104,salinopolis,-0.6136,-47.3561,28.54,80,99,2.25,BR,1712849367
105,tafalla,42.5269,-1.6745,23.49,45,5,6.71,ES,1712849367
106,hawaiian paradise park,19.5933,-154.9731,21.69,98,100,2.06,US,1712849367
107,gillette,44.2911,-105.5022,6.17,47,0,1.34,US,1712849181
108,klyuchi,52.2667,79.1667,1.35,76,100,2.73,RU,1712849367
109,east london,-33.0153,27.9116,17.52,72,0,9.77,ZA,1712849368
110,victorica,-36.2151,-65.4359,11.21,54,100,6.89,AR,1712849368
111,grants,35.1473,-107.8514,5.13,36,0,1.54,US,1712849368
112,kerema,-7.9631,145.7785,26.2,89,97,2.98,PG,1712849368
113,ar rass,25.8694,43.4973,28.95,19,5,3.03,SA,1712849368
114,oistins,13.0667,-59.5333,31.05,62,20,8.23,BB,1712849368
115,namtsy,62.7161,129.6658,0.72,94,100,3.09,RU,1712849369
116,pisco,-13.7,-76.2167,24.45,78,57,3.09,PE,1712849369
117,rio grande,-32.035,-52.0986,21.06,59,100,6.82,BR,1712849369
118,concepcion,-36.827,-73.0498,14.89,77,75,4.12,CL,1712849298
119,nishinoomote,30.7333,131.0,18.72,86,100,8.08,JP,1712849369
120,bodaybo,57.8506,114.1933,-1.99,97,91,0.58,RU,1712849369
121,kuhmo,64.1333,29.5167,4.65,77,41,6.34,FI,1712849369
122,bodo,67.28,14.405,4.41,68,75,6.17,NO,1712849370
123,newtown trim,53.5561,-6.77,15.97,95,100,6.28,IE,1712849370
124,titlagarh,20.3,83.15,26.77,51,87,1.51,IN,1712849370
125,sao jose da coroa grande,-8.8978,-35.1478,29.95,66,76,4.06,BR,1712849370
126,antsiranana,-12.2787,49.2917,28.42,83,40,0.0,MG,1712849370
